vehicle_id,trip_id,route_id,latitude,longitude,bearing,timestamp
JXK3442,weekend_U6418_U641802_1,U6418,3.0818419456481934,101.58683013916016,262.0,1787370814
WB7597P,weekend_U1730_U173002_1,U1730,3.1784000396728516,101.68583679199219,124.0,1787370807
RAPID421,weekend_U2500_U250002_4,U2500,3.2089169025421143,101.72782897949219,139.0,1787370813
VGY9564,weekend_U6000_U600001_6,U6000,3.1313929557800293,101.6888656616211,229.5,1787370812
WB837U,weekend_T5800_T580002_1,T5800,3.0570828914642334,101.67467498779297,0.0,1787370811
RAPID424,weekend_U2500_U250001_4,U2500,3.1677498817443848,101.697998046875,61.0,1787370802
WVE4734,weekend_T6010_T601002_2,T6010,3.007920026779175,101.59788513183594,194.5,1787370809
JNS3753,weekend_U2548_U254802_1,U2548,3.1885828971862793,101.717529296875,112.5999984741211,1787370818
VGJ1970,weekend_U7510_U751001_2,U7510,3.025113105773926,101.54006958007812,80.0,1787370809
VFA9781,weekend_U7720_U772001_3,U7720,3.127058982849121,101.55794525146484,329.8999938964844,1787370804
JXM2896,weekend_T4068_T406802_2,T4068,3.1052498817443848,101.80766296386719,216.0,1787370816
JQB7201,weekend_T3028_T302802_1,T3028,3.1560909748077393,101.75261688232422,313.6000061035156,1787370747
W9423Q,weekend_U7800_U780002_3,U7800,3.109544038772583,101.63796997070312,100.30000305175781,1787370792
W5164V,weekend_T2230_T223002_1,T2230,3.1826610565185547,101.75489807128906,201.6999969482422,1787370780
WVP2491,weekend_U2020_U202002_3,U2020,3.2362499237060547,101.70032501220703,0.0,1787370803
JXK3461,weekend_U6418_U641802_1,U6418,3.083672046661377,101.67141723632812,237.6999969482422,1787370813
WVG2370,weekend_U3030_U303002_3,U3030,3.1595399379730225,101.71090698242188,99.0999984741211,1787370809
SF20045,weekend_U1900_U190002_4,U1900,3.140899896621704,101.69316101074219,277.0,1787370790
WVE4752,weekend_U2020_U202001_3,U2020,3.2352209091186523,101.70381164550781,296.20001220703125,1787370792
VGK1677,weekend_U6000_U600001_4,U6000,2.991934061050415,101.61863708496094,295.70001220703125,1787370803
W5331R,weekend_U7520_U752001_1,U7520,3.0736780166625977,101.53291320800781,21.600000381469727,1787370814
WVG2397,weekend_T6040_T604001_1,T6040,3.021728992462158,101.6072769165039,89.0,1787370814
WB8514H,weekend_U5810_U581002_1,U5810,3.067033052444458,101.71350860595703,220.0,1787370809
WVN7765,weekend_U1710_U171002_4,U1710,3.1890170574188232,101.691162109375,175.0,1787370799
JXK4863,weekend_U7508_U750801_3,U7508,3.0722670555114746,101.52159881591797,79.5,1787370765
W7083Q,weekend_U7510_U751002_3,U7510,3.1227669715881348,101.67594146728516,49.79999923706055,1787370801
JPY4875,weekend_U7538_U753801_1,U7538,3.197740077972412,101.43360900878906,185.3000030517578,1787370813
VEN634,weekend_U3000_U300002_2,U3000,3.1511240005493164,101.76097106933594,95.5999984741211,1787370755
WUW4133,weekend_U1710_U171001_4,U1710,3.2100090980529785,101.6891098022461,321.5,1787370812
JNP7608,weekend_U7718_U771802_0,U7718,3.08074688911438,101.61370086669922,189.6999969482422,1787370791
WUW8426,weekend_U1900_U190001_4,U1900,3.150783061981201,101.69300079345703,205.0,1787370814
WB846U,weekend_T6400_T640002_3,T6400,3.1002330780029297,101.64466094970703,270.0,1787370797
WVB5772,weekend_U2200_U220002_4,U2200,3.168117046356201,101.73699188232422,0.0,1787370788
VGJ1946,weekend_U6000_U600001_5,U6000,3.0436320304870605,101.6201171875,104.5999984741211,1787370756
WB6436M,weekend_T5800_T580002_1,T5800,3.048949956893921,101.6806640625,268.0,1787370801
WUY9577,weekend_U2200_U220001_3,U2200,3.169066905975342,101.72750854492188,0.0,1787370787
VGJ8959,weekend_U6000_U600001_4,U6000,2.991913080215454,101.61865234375,291.6000061035156,1787370810
VGF6505,weekend_U7510_U751001_2,U7510,3.103637933731079,101.64830780029297,189.10000610351562,1787370803
WVA4147,weekend_U2000_U200002_2,U2000,3.2492170333862305,101.73100280761719,64.0,1787370797
VGH4668,weekend_U6000_U600002_6,U6000,3.1428680419921875,101.695556640625,275.0,1787370756
JXK445,weekend_T4068_T406802_3,T4068,3.1182069778442383,101.81877899169922,30.0,1787370816
RAPID461,weekend_U4000_U400002_1,U4000,3.1467669010162354,101.69866180419922,127.0,1787370812
WVL581,weekend_U2020_U202002_3,U2020,3.17480206489563,101.69996643066406,178.10000610351562,1787370801
WB6417S,weekend_U1730_U173001_1,U1730,3.15671706199646,101.69466400146484,271.0,1787370791
W2840T,weekend_U5800_U580002_3,U5800,3.149549961090088,101.71066284179688,339.0,1787370785
VFJ4927,weekend_U6400_U640001_3,U6400,3.0752809047698975,101.64612579345703,285.3999938964844,1787370780
JSN7064,weekend_T3048_T304802_1,T3048,3.1572930812835693,101.75035858154297,282.5,1787370793
RAPID426,weekend_U2500_U250001_4,U2500,3.1737499237060547,101.69917297363281,349.0,1787370800
JSD7540,weekend_U7548_U754802_0,U7548,3.0800020694732666,101.54944610595703,57.099998474121094,1787370778
JSK3645,weekend_U7718_U771802_1,U7718,3.046539068222046,101.57618713378906,16.899999618530273,1787370808
WUY9579,weekend_U8210_U821002_1,U8210,3.108150005340576,101.67350006103516,34.0,1787370815
VGJ8965,weekend_U3000_U300002_3,U3000,3.120513916015625,101.76319885253906,143.60000610351562,1787370816
WUY4084,weekend_T7860_T786002_1,T7860,3.1286520957946777,101.64315032958984,84.9000015258789,1787370780
WVA4137,weekend_U8210_U821002_1,U8210,3.1327500343322754,101.68966674804688,0.0,1787370816
WVB7356,weekend_U1510_U151001_2,U1510,3.251332998275757,101.6698226928711,334.0,1787370815
W6961T,weekend_U7520_U752002_1,U7520,3.009535074234009,101.56072235107422,270.20001220703125,1787370802
VGK8917,weekend_U6000_U600002_7,U6000,2.994493007659912,101.61510467529297,332.3999938964844,1787370811
CDH8890,weekend_T2020_T202002_1,T2020,3.2243499755859375,101.71434020996094,182.0,1787370816
WB4708V,weekend_T6400_T640002_3,T6400,3.071199893951416,101.65016174316406,275.0,1787370799
WVN5576,weekend_T2510_T251002_2,T2510,3.1971170902252197,101.74500274658203,0.0,1787370810
WVB4105,weekend_U2000_U200002_2,U2000,3.1730329990386963,101.69898986816406,24.0,1787370818
VGK1736,weekend_U3000_U300002_3,U3000,3.15854811668396,101.70877075195312,238.6999969482422,1787370811
WUY9497,weekend_T2010_T201002_3,T2010,3.2501330375671387,101.70315551757812,54.0,1787370819
WVB5687,weekend_U1710_U171001_3,U1710,3.2509829998016357,101.683837890625,44.0,1787370759
W479T,weekend_U1730_U173002_1,U1730,3.2607181072235107,101.67423248291016,225.39999389648438,1787370797
VGN2847,weekend_U6000_U600001_5,U6000,3.0890679359436035,101.67430114746094,195.60000610351562,1787370796
WVK361,weekend_U3030_U303002_2,U3030,3.1416170597076416,101.78284454345703,90.0,1787370811
WB864U,weekend_U4500_U450002_5,U4500,3.1289501190185547,101.72083282470703,306.0,1787370787
VEN3891,weekend_U6000_U600001_5,U6000,3.083076000213623,101.67018127441406,271.70001220703125,1787370767
WVL592,weekend_T6000_T600002_0,T6000,3.02020001411438,101.62751007080078,4.0,1787370810
PLQ2146,weekend_U7800_U780002_4,U7800,3.150062084197998,101.58536529541016,92.0,1787370809
JXK4870,weekend_U7508_U750801_3,U7508,3.1036698818206787,101.6480941772461,189.3000030517578,1787370807
WVN7821,weekend_U7718_U771802_1,U7718,3.0474328994750977,101.6068344116211,0.0,1787370815
WVD4945,weekend_U8210_U821002_1,U8210,3.140933036804199,101.6951675415039,7.0,1787370804
WVF5584,weekend_T7870_T787002_1,T7870,3.1094579696655273,101.64404296875,107.4000015258789,1787370807
JSK4312,weekend_U7508_U750802_3,U7508,3.0755441188812256,101.5565414428711,70.30000305175781,1787370805
VEN1373,weekend_U3000_U300002_1,U3000,3.1332221031188965,101.75862884521484,99.4000015258789,1787370801
CDH8332,weekend_T7760_T776002_2,T7760,3.051632881164551,101.60250854492188,20.0,1787370811
WVC4307,weekend_U2020_U202001_3,U2020,3.1570498943328857,101.6951675415039,0.0,1787370808
WVC6476,weekend_U7800_U780001_3,U7800,3.132642984390259,101.68981170654297,137.60000610351562,1787370788
WVC6439,weekend_U6510_U651002_0,U6510,3.0744330883026123,101.67633819580078,0.0,1787370800
WVH7632,weekend_T6040_T604002_1,T6040,3.0561470985412598,101.617431640625,308.70001220703125,1787370805
W7952S,weekend_T2220_T222002_1,T2220,3.199086904525757,101.7378921508789,333.20001220703125,1787370752
W4948W,weekend_U7830_U783002_2,U7830,3.081986904144287,101.5926742553711,273.70001220703125,1787370792
W5380Q,weekend_U1730_U173002_1,U1730,3.185821056365967,101.6819839477539,189.6999969482422,1787370786
WVE7352,weekend_U1900_U190002_4,U1900,3.1820499897003174,101.68050384521484,67.0,1787370810
WUY9534,weekend_U3020_U302002_0,U3020,3.1614830493927,101.712158203125,63.0,1787370801
VHB446,weekend_U6400_U640002_4,U6400,3.1411190032958984,101.69762420654297,267.20001220703125,1787370799
VGJ8962,weekend_U6000_U600002_7,U6000,3.040574073791504,101.61808013916016,12.600000381469727,1787370808
WVA4269,weekend_U1900_U190002_4,U1900,3.1610500812530518,101.69766998291016,115.0,1787370790
SF20679,weekend_T3018_T301802_3,T3018,3.1341331005096436,101.767822265625,0.0,1787370805
WVN7805,weekend_T6050_T605002_0,T6050,3.0208330154418945,101.62751007080078,0.0,1787370787
WVC3984,weekend_U8210_U821002_1,U8210,3.1081669330596924,101.67400360107422,0.0,1787370800
VGH1474,weekend_U6000_U600002_6,U6000,3.0583250522613525,101.6383285522461,82.30000305175781,1787370815
VGN2850,weekend_U6400_U640001_3,U6400,3.0896739959716797,101.67436218261719,199.60000610351562,1787370803
VFB2440,weekend_U6000_U600002_6,U6000,3.090054988861084,101.67423248291016,25.399999618530273,1787370790
VGH1470,weekend_U6400_U640002_4,U6400,3.0723791122436523,101.64768981933594,128.10000610351562,1787370801
WVB3741,weekend_T6040_T604001_1,T6040,3.0523500442504883,101.62350463867188,0.0,1787370814
WUU6711,weekend_U2200_U220002_4,U2200,3.157249927520752,101.69599914550781,175.0,1787370817
WVC6416,weekend_U1800_U180001_1,U1800,3.1962170600891113,101.69466400146484,90.0,1787370803
VGF4514,weekend_U6400_U640002_4,U6400,3.094309091567993,101.67516326904297,13.399999618530273,1787370799
WVN7853,weekend_U6510_U651002_0,U6510,3.0611889362335205,101.66011047363281,257.3999938964844,1787370817
RAPID443,weekend_U5900_U590002_4,U5900,3.023699998855591,101.71599578857422,330.0,1787370814
